hospital,admissions,avg_billing
"and Pruitt Gonzales Perez,",1,20647.33
"Burns Allen, and Simon",1,49358.67
"Miller Haynes and Berger,",1,26588.51
"and Thomas, Sampson Brown",1,7269.7
"Zavala and Armstrong Burns,",1,21410.99
"and Anderson, Smith Woods",1,13067.2
"Edwards, Brown Gonzalez and",1,26766.11
"Navarro Morales, and Tate",1,25650.83
Archer Ltd,1,5866.45
Taylor-White,1,27551.1
Sutton-Hernandez,1,43603.14
"Miranda, Keith Cole and",1,14353.27
Bennett-Atkinson,1,44424.28
Garcia-Trevino,1,12358.2
"and Williams Cobb Rivera,",1,42083.9
"Miller Rivera, and Miller",1,22020.35
and Hubbard Sons,1,35254.85
Esparza-Alvarado,1,39502.09
"Wright and Mccoy, Olson",1,34530.73
Powers-Flores,1,31663.44
Phillips-Stevenson,1,45489.17
"Holt, and Green James",1,40250.91
Shea-Davis,1,23447.34
Silva-Williams,1,1646.65
"Hansen, and Smith Foster",1,23503.52
Trujillo-Hatfield,1,5956.64
"Shepherd Benjamin, and Kennedy",1,45172.79
Hurley-Bradley,1,48788.37
Ibarra-Chaney,1,43644.54
Inc Ibarra,1,47236.09
"Tran Tate Thompson, and",1,17089.61
"and Shannon Owen, Dalton",1,49147.42
"Hamilton, Reeves Morris and",1,50243.53
West-Salazar,1,45568.06
Nolan-Barton,1,27520.87
Preston-Page,1,43045.19
"Moore Shields, Flores and",1,7261.58
Ross-Holder,1,7465.96
Wright-Wagner,1,17561.51
Hood-Martin,1,14497.32
"and Lopez, Fisher Wall",1,1059.76
Montgomery-Dudley,1,31694.58
Small-Taylor,1,49018.51
Mcclure PLC,1,8567.84
"and Johnson, Munoz Anderson",1,17241.18
Ramos and Sons,1,42304.96
"Chapman Phelps, and Walker",1,27385.13
Dean-Sanders,1,25160.18
"and Boyd Powell, Sims",1,49700.32
Haynes-Silva,1,48491.64
"Hogan, Young Holmes and",1,2462.21
"Walker, and Webb Morton",1,13907.11
Shaw-Blair,1,43577.68
"Hayden and Miller, Schneider",1,23900.3
Moore-Brewer,1,29330.12
Turner-Curtis,1,12373.75
Reed-Henry,1,7215.48
"White, Decker Freeman and",1,41786.91
Austin-Ross,1,1416.64
Oneal Inc,1,21968.02
"Sanchez Miller Wood, and",1,22644.48
"Davis Wood Kemp, and",1,16075.01
Ross-Terrell,1,5806.71
Reese-Finley,1,8896.85
Wright-Cordova,1,29863.74
"Carey Romero, and Osborne",1,42900.48
Sanders-Young,1,29819.16
"and Steele Howard, Blair",1,47091.09
"and Haas Hernandez, Hines",1,33332.76
"Wilson, Warren and Smith",1,1303.33
Nguyen-Smith,1,27110.79
"Vasquez and Flores, Ellis",1,40238.66
Johnson-Wise,1,14320.69
LLC Chandler,1,43764.37
Sharp-Willis,1,38084.55
"and Hart Clark White,",1,10905.44
"and Holloway Davis, Winters",1,12705.14
Murphy-Gould,1,41759.46
"and Henderson Bauer Lee,",1,30057.68
Reese-Reynolds,1,11181.71
"and Wolfe, Perez Dennis",1,39794.34
Heath-Gibson,1,7489.63
White-Skinner,1,28046.87
Garner-Flores,1,38217.62
Whitaker-Shea,1,14585.48
Bradshaw and Sons,1,36174.02
"and Rivera, Mccoy Rivera",1,16473.02
Levine Ltd,1,25238.24
"Schmitt, and Hoffman Perez",1,44576.47
"Johnson, and Harrison Lee",1,47754.96
Stone-Montgomery,1,29306.68
"Walter Schmidt Rodgers, and",1,11670.18
Hicks-Phillips,1,43000.18
"and Adams, Martin Franklin",1,4760.29
"Burgess Morgan, and Smith",1,38735.44
"and Mitchell, Kirby Hayes",1,17128.28
Ltd Norris,1,10266.53
"Johnson Meyers and Novak,",1,9917.25
Sons Hopkins and,1,25069.64
Hardy-Tucker,1,26033.2
Brown-Summers,1,31281.49
Lewis-Hubbard,1,20957.6
"and Ayers Swanson, Greer",1,11599.16
Goodwin-Clark,1,25104.55
Hebert-Hoffman,1,49469.96
Palmer-Hayden,1,43366.16
"and Moore Galloway Moss,",1,22766.59
Thomas-Odonnell,1,39020.3
"Gonzalez, Sampson and Yates",1,17361.04
Waller-Gross,1,38151.22
Mcneil Inc,1,26618.74
"Fernandez Sanders, and Elliott",1,9461.58
Group Reynolds,1,29559.43
"Dunn and Brooks Allen,",1,39146.74
Brown-Lee,1,27828.74
LLC Mccullough,1,50074.23
"Perry, Chan and Miller",1,37218.91
Larson-Jordan,1,5871.86
Lawson-Randolph,1,32879.8
Ballard Inc,1,5744.18
Reese-Murphy,1,11739.96
Arnold-Rivera,1,40115.06
Gomez-Peters,1,34050.89
"and Foster, Leonard Jenkins",1,23034.68
"and Hurst, Page Jones",1,32463.07
Richardson-Wilson,1,39791.61
Valentine-Dickerson,1,44946.91
Taylor-Torres,1,16478.75
"Barnes, and Wilson Golden",1,45767.38
"Hooper and Wilson, Bishop",1,29437.62
"Harrison Bailey, and Mendoza",1,2627.09
"and Allen James Wolf,",1,47946.31
"Murphy Brown, and Hall",1,22858.8
"Ruiz and Pena, Rich",1,25377.8
Barker-Escobar,1,1643.68
Doyle-Stevens,1,10470.65
"Parks, and Garcia Williamson",1,47793.83
Holden Ltd,1,16244.76
"and Ross Blair Rodriguez,",1,11418.49
"and King Johnson, Lawrence",1,46897.13
Baker-Burke,1,26518.66
"Sweeney Valencia, Hammond and",1,19695.57
Allen Sons and,1,39697.64
and Sons Gallegos,1,39799.8
"Castillo and Johnson, Adkins",1,990.02
Klein-Cabrera,1,17168.52
Pennington-Simon,1,36185.59
Williams-Esparza,1,19353.52
"Moreno and Guzman, Lane",1,34670.95
"Moore, Smith Duncan and",1,12528.38
"and Mann Beltran, Perkins",1,45412.67
Wang Ltd,1,47949.77
Davies-Ford,1,12026.54
Santiago-Porter,1,7944.99
"Maxwell and Ortiz, Green",1,27671.37
"Bean Jimenez, and Blake",1,9218.55
Wilson-Young,1,38302.59
Fuentes-White,1,23386.66
"and Huerta Perez Christensen,",1,1517.29
Howard-Mays,1,32120.93
"Lindsey Berger, and Dunn",1,43106.95
Chang-Patrick,1,41728.31
Cline-Stephens,1,29071.22
"Evans, and Scott Hunter",1,17282.89
Daniels-Chen,1,29389.69
Rodriguez-James,1,38729.11
"Briggs Bailey Barnett, and",1,3548.48
"Alexander Turner, Stout and",1,32268.98
Brewer Inc,1,37561.81
Lee-Reilly,1,40278.84
"Fowler, and Diaz Rodriguez",1,16454.24
"Adams, Hendricks Collins and",1,8200.79
Chen-Edwards,1,47728.03
Dalton-Shelton,1,46402.22
Rodgers-Newton,1,27376.53
"Higgins and Berry, Boone",1,6154.66
Brown-Page,1,29862.57
Marks-Knight,1,27524.46
Williams-Pierce,1,22324.22
"and Hughes Cowan, Bell",1,23807.56
"Vargas and Robinson, Adams",1,33262.41
Lopez-Thomas,1,41729.91
Curtis-Winters,1,47114.98
Page-Davis,1,20507.46
and Sons Kidd,1,38182.82
"Blake, Dixon and Smith",1,19237.5
and Hanson Sons,1,3659.81
"Norris Alexander and Huang,",1,10249.08
"Brown Soto, and Clark",1,23035.11
Gonzalez-Cherry,1,37844.94
"Tapia and Davis, Wiley",1,3068.36
Proctor-Jones,1,6132.4
"Johnson Goodman Clark, and",1,25414.8
Berg-Mcconnell,1,40065.34
"and Rodriguez Gallegos Henry,",1,29995.43
Brown-Clark,1,10003.67
"Medina, and Allen Wilkins",1,15092.08
PLC Fischer,1,44455.98
"and Howard Fuller, Friedman",1,5809.53
Chambers-Smith,1,25223.47
Reyes-Delacruz,1,43278.4
"Hicks, Yates Morris and",1,32162.29
"Perez, Case Pierce and",1,43392.57
"Cantrell and Armstrong Marshall,",1,28350.04
Gonzales-Ramirez,1,44275.2
"Morales Castro and Rodriguez,",1,41607.31
"Cook, Wall and Smith",1,46797.52
Inc Rubio,1,47449.32
"Carter, and Cross Lara",1,46243.96
"Sims and David, Rogers",1,26566.62
"Bowen, Larson and Proctor",1,1593.25
Montoya-Turner,1,12631.08
"Evans Rogers, Sutton and",1,46334.37
PLC Andersen,1,11329.15
"and Keller, Garcia Rios",1,45162.76
Kelly-Richardson,1,45874.51
"and Mitchell White Mendez,",1,27975.33
"Rodriguez and Bass Gordon,",1,18642.18
Chen-Kline,1,47962.82
"White, and Harris Barrett",1,30523.02
Haas-Shaw,1,50390.03
Richards-Garza,1,23061.42
"Wallace Hill Goodman, and",1,18387.77
Sandoval-Peterson,1,33622.3
"Chavez and Brown, Morris",1,39746.21
Williams-Singh,1,30565.97
Norris-Hall,1,37026.77
"Carr, Morris and House",1,22467.36
"James Stephens and Mosley,",1,30764.52
Richard-Patton,1,10369.79
and Sons Deleon,1,31053.99
Ortiz-Hoover,1,13489.61
"Adams and Roberts Armstrong,",1,4431.9
Ltd Bolton,1,24757.32
Group Abbott,1,45585.92
"Smith and White Dunn,",1,12523.69
Lewis-Byrd,1,45604.32
"Whitney Martinez, and Scott",1,24383.57
"White Morgan, and Herman",1,1442.66
Hawkins-Jordan,1,39794.26
Beard-Burns,1,40074.77
Baker-Evans,1,10961.74
Holloway-Jimenez,1,3824.66
Combs-Morrison,1,27233.52
"Murray, Tapia West and",1,34751.96
"and Ford, Porter Harris",1,27216.83
"Vaughan Whitaker, Johnson and",1,27961.91
Gamble-Blanchard,1,24079.59
"Schmidt and Allen York,",1,11312.57
Cook-Holloway,1,10781.16
"and Clark Gray Carroll,",1,21794.56
"Moore and Frank Wolfe,",1,36621.9
"and Herrera, Cain Weiss",1,44875.91
"Hamilton Brown and Crane,",1,29423.43
"Peterson and Clark Thompson,",1,14133.66
Bennett-West,1,26049.39
"Hernandez, and Hill Marshall",1,37981.09
"Lane Collins, and Adams",1,29822.18
Clark-Hubbard,1,13784.79
Blackburn-Ayala,1,20119.63
Burns-Gross,1,7695.38
"Benson Lynch, and Carlson",1,23952.91
"Sosa and Short Miles,",1,26650.24
"and Patrick, Solis Jones",1,24148.33
Terry-Hampton,1,16317.14
"Lee Ellison, Wilcox and",1,28783.12
Novak PLC,1,39263.35
Herrera-Robertson,1,38810.21
Villegas-Smith,1,13928.5
Doyle-Johnson,1,18493.73
"and Conrad, Charles Lowery",1,5409.23
"Garcia, Durham Smith and",1,33899.45
"Morgan Hendricks, Greene and",1,31706.86
Mendez LLC,1,48285.61
Jarvis-Thompson,1,43662.16
Gross-Richards,1,44641.9
Sutton-Miller,1,43487.46
"Jones Holt, and Cervantes",1,31682.08
"Franklin and White, Riley",1,32974.56
"and Davenport Richard Duncan,",1,46738.18
Anderson-Richardson,1,26218.25
Heath and Sons,1,27564.1
"and Edwards Phillips, Jarvis",1,50999.07
"Smith, Gregory and Joyce",1,17552.42
Thompson-Wyatt,1,32799.5
"Fowler and Howell, Suarez",1,48832.26
"Park Diaz, and Kelly",1,2099.81
Hines-Mccann,1,31892.66
Group Bender,1,22937.7
Aguilar Sons and,1,13945.1
Burnett-Welch,1,2669.32
Lane-Monroe,1,16754.48
"Smith Reid, Hill and",1,21645.09
"Dunlap and Green Lewis,",1,20431.35
"Ingram Gutierrez, and Holden",1,30069.85
"and Henderson Oconnell Williams,",1,27350.39
"and Henry Alexander Martinez,",1,5272.6
"Simmons Jacobs and Robinson,",1,13406.66
Stewart-Kennedy,1,47284.62
Bailey-Gardner,1,20236.53
Fuller Ltd,1,44983.26
"Lopez Porter and Hensley,",1,13659.04
"Owens and Neal Johnson,",1,6156.58
"Thompson, Bishop Ibarra and",1,23231.78
"and Ferrell, Abbott Finley",1,47252.53
"and Stein Velez, Turner",1,26345.9
"Anderson Cohen, Orr and",1,20370.33
Clark-Espinoza,1,51848.2
Nunez-Bush,1,48808.8
Vazquez-Wiggins,1,21816.94
Sullivan-Larson,1,42205.56
Duran-Conner,1,45706.39
"Mullins Thomas and Moody,",1,2749.39
Ho-Adams,1,18714.08
"Collins and Walker Bailey,",1,29035.6
"and Parker Hill, Price",1,8841.03
Nelson-Williams,1,35987.66
Lee-Gibson,1,27972.61
"and Parks Choi Drake,",1,22122.8
Curry-Reyes,1,27014.68
Sons Goodwin and,1,22531.1
Sweeney-Jackson,1,7175.23
"Winters Martin, and Neal",1,36237.6
"and Williams, Brown Mckenzie",1,24747.35
Morris-Arellano,1,40701.6
Richards-Mack,1,35435.17
Cunningham-King,1,24023.96
"Griffith Mccullough Mendoza, and",1,2106.39
"Hutchinson, Wilson Daniel and",1,46950.58
Brennan-Walters,1,20831.14
Group Sparks,1,11425.89
Jacobs-Howell,1,44442.61
"Thomas, and Hatfield Wright",1,15571.17
Rowe PLC,1,11402.0
"and Farley Ball, Myers",1,48431.43
Ford-Goodwin,1,48263.39
Carroll-Daniels,1,42554.55
Bartlett-Huffman,1,48307.38
Rhodes-Brown,1,46776.5
"Powers Webb Blackwell, and",1,32444.31
"Moore Butler, Gordon and",1,37696.95
Hodges-Parker,1,47873.43
"Johnson, and Mitchell Lyons",1,42555.61
Simmons-Stokes,1,25958.28
Richardson-Bennett,1,-378.96
Morrison-Wright,1,26491.48
"Morrison, and Andrews Foley",1,36618.41
Estrada-Salazar,1,11243.48
"and Wilson Wilson, Villarreal",1,35506.71
"Shannon, Kelly and Delgado",1,36450.44
PLC Patton,1,15981.1
"Brown and Bailey, Thomas",1,37661.6
"Anderson, Johnson George and",1,46975.24
"and Williams Phillips Garcia,",1,31466.05
Simmons-Bailey,1,25999.93
Navarro-Strickland,1,37651.3
"and Blair, Powell Kramer",1,8518.25
"Williams and Burns Bradford,",1,45662.99
Taylor-Conner,1,4341.09
Pollard-Moore,1,31960.62
Freeman-Hahn,1,22685.61
"Ross Ho, Patterson and",1,487.26
Valdez-Bishop,1,34082.28
"and Stevens Fernandez, Davis",1,9574.72
"Gibson and Palmer Garcia,",1,44466.66
"Lucero and Adams Meza,",1,5019.07
Lewis-Bush,1,46827.03
James-Thomas,1,8530.21
"Conley Mooney, Hall and",1,34716.25
Savage-Contreras,1,9410.96
Bennett-Brooks,1,24502.67
Inc Bautista,1,21381.23
Hays Group,1,22199.59
Wilson-Robbins,1,26290.21
Underwood-Murray,1,37179.65
"Mccall Mckenzie and Mata,",1,40262.95
"Montoya Lyons, and Cole",1,16622.27
"Sharp Wright and Williams,",1,3849.45
Escobar-Banks,1,4810.91
and Sons Parrish,1,23588.37
Schmidt-Warren,1,1445.41
Ltd Pope,1,44724.79
"Myers, Sanchez Wilson and",1,28348.83
Ford-Day,1,37503.83
PLC Pollard,1,32000.51
"Ruiz, and Vega Reyes",1,9755.46
"Williams Cervantes, Alexander and",1,13955.31
Wilson-Townsend,1,37788.24
Warren-Gonzalez,1,41891.36
Deleon-White,1,32377.27
"Wong and Fleming Green,",1,32253.58
Wiley-Lawrence,1,1148.28
"Johnson Ramirez, Farmer and",1,13415.12
"Caldwell Weber and Cooper,",1,27234.42
Owens-Stafford,1,27626.11
Stuart Group,1,41097.69
Cole-Reyes,1,28297.48
Nelson-Scott,1,44327.61
Kidd-Gonzales,1,29424.23
Cox-Herman,1,43058.12
"Golden Lopez, Powell and",1,22036.34
"Robinson, Green Goodwin and",1,30867.39
"Cole Frederick, Carlson and",1,10186.3
Alvarez-Shelton,1,47945.54
"Mills Peterson and Jones,",1,36477.55
"Morse Lowery, and Salas",1,26598.04
Robertson-Ho,1,22930.23
"George Watson Vazquez, and",1,25394.72
"Wallace Parker Wood, and",1,5233.92
and Sons Colon,1,23470.48
"and Hayes Rodriguez, Green",1,17057.04
"and Tucker Knox, Gill",1,10070.62
Martinez-Richard,1,39204.25
Alvarez-Craig,1,51293.41
"Henry, Buckley and Ferguson",1,26948.29
"and Cannon, Johnson Salazar",1,13347.3
"Richardson, and Mueller Henson",1,40773.05
Peters Sons and,1,985.46
Sherman-Bates,1,49477.67
Hendrix Ltd,1,33319.82
Mcneil-Wilson,1,42692.69
"Turner Young, and Mendoza",1,25419.32
"and Gonzalez Moore, Brooks",1,25496.98
Welch-Cervantes,1,39258.8
"and Robbins Wood Brown,",1,7512.61
George-Rosales,1,13981.69
Peterson-Thompson,1,8562.2
"Osborne Smith, Young and",1,386.86
Taylor-Park,1,4451.39
"and Young Taylor, Ball",1,4812.78
Shannon-Myers,1,45551.79
Cook-Lee,1,37173.94
"Walls, and Moore Soto",1,36795.96
"and Adkins Porter, Benton",1,42764.84
Osborne-Rogers,1,15280.6
Boyd PLC,1,27155.3
Jones-Thomas,1,34112.27
Collins-Ellis,1,33671.01
"and Walker Walker Salinas,",1,7976.76
Delacruz-Wilson,1,4544.13
"Williams, Anderson and Lane",1,26143.87
Group Cain,1,8484.59
"Mcdonald Alexander Montes, and",1,20381.02
"Hill Johnson, Ford and",1,50244.07
"and Schroeder Hill Johnson,",1,23453.02
"and Simmons Burch Avila,",1,20979.31
Rosales Group,1,29107.68
"Robertson Olson Carlson, and",1,44483.59
"Johnson, and Mendoza Evans",1,27723.39
"Calhoun and Tran Leblanc,",1,8239.95
Miller-Golden,1,29428.29
"Williams and Hensley Hernandez,",1,8045.82
Cook-Gibson,1,38272.35
"Roth Smith Lopez, and",1,27296.86
Cline-Williams,1,12263.36
Guerrero-Boone,1,5767.01
Cline-Carpenter,1,23499.94
Hamilton and Sons,1,38403.58
Martin-Rice,1,48574.83
"Mills and Young, Perry",1,48799.39
Warner-Ochoa,1,44444.84
Kelly-Smith,1,31003.89
LLC Blanchard,1,9540.68
"Smith, Williams Wilkins and",1,15118.95
"Hernandez Anderson Owens, and",1,40108.83
LLC Thornton,1,51006.51
Chan-Brown,1,3299.48
Lawrence Sons and,1,47891.04
"Rodriguez Henderson, and White",1,18204.85
Petersen-Mitchell,1,20253.89
Ponce-Newman,1,8041.54
Robertson-Glass,1,38707.62
Inc Stanley,1,25477.71
Kane-Haynes,1,19393.63
Mason-Krause,1,22210.08
Peterson-Hodges,1,29685.4
Miller-Adams,1,20554.71
"Romero Calhoun, and Valencia",1,11201.96
"and Patton Patterson, Gonzalez",1,35514.54
Medina-Bailey,1,20393.49
"and Johnson Palmer Baker,",1,39821.81
Ward-Bowen,1,2058.45
"Rodriguez Jacobs, and Bailey",1,34516.05
Clark-Kennedy,1,29269.48
Johnson-Mccarty,1,34743.16
Haney-Jones,1,27768.03
Haynes-Garcia,1,11354.07
"Braun Nichols, and Foster",1,33823.8
"and Bowman, Brown White",1,45604.06
"Smith, and Mason Shepherd",1,25286.77
Powell-Ponce,1,14822.64
"Hunt Cortez Morris, and",1,16901.41
"Brown Hunt Lowe, and",1,15645.7
Huber-Tran,1,2415.46
"Kent Burke, and Haney",1,13048.55
Chen-Anderson,1,41102.03
"Mcdonald and Turner, Smith",1,9300.25
Williamson-Acosta,1,25144.47
Burnett-Young,1,13463.43
"Mills, Hall Norton and",1,18648.53
"and Hayes Williams Walker,",1,45377.7
"Brown and Richardson Pearson,",1,12357.1
"Ramos Murphy, and Gibbs",1,16944.48
"Greene, and Dean Hunter",1,29765.25
"Vega, Salazar Rojas and",1,45159.76
"Bullock Castillo, and Cowan",1,10019.16
Jenkins-Chan,1,7551.16
Ltd Clements,1,27043.38
"Sparks, and Ward Davis",1,4397.85
Stevens-Valencia,1,22082.43
and Conley Sons,1,36555.47
"Pope, Day Mason and",1,24306.32
Johnson-Russo,1,15957.69
Herman-Arnold,1,42821.69
Lambert-Chambers,1,18160.16
"Morgan Bonilla Russell, and",1,23143.51
"Gray and Acosta Trevino,",1,40607.29
"Flores Barnett Greene, and",1,15245.16
"Brandt, Rivas and Knight",1,5885.49
"Ramirez, and Lee Cobb",1,44007.65
Boyer-Williams,1,4255.33
and Sons Barnett,1,6489.19
Elliott-Powers,1,40595.2
Cooper-Wood,1,21298.91
Group Aguilar,1,6701.76
"and Higgins Reese, Kirk",1,31281.98
"Parker, Cox and Holt",1,27563.81
Ltd Cantrell,1,31491.63
Rodriguez-Rodriguez,1,6492.83
"Mitchell and Davis, Banks",1,29803.36
Wall-Wilson,1,26708.84
Jimenez-Meyers,1,47332.89
Patterson-Gentry,1,47545.92
"and Mcgee Sullivan Green,",1,49657.27
"and Johnson Bryant, King",1,45026.62
PLC Raymond,1,13983.25
Myers-Ramirez,1,46333.77
LLC Berg,1,6447.77
Kim-Boyd,1,21295.91
"Leach Holland and Conway,",1,28498.21
"Moreno Rivas and Oliver,",1,45056.82
Rodriguez-Carlson,1,27680.07
"Stewart, Young and Gregory",1,38800.84
Marks Sons and,1,43609.18
Allen-Hill,1,16731.42
"Jones, and Lane Crosby",1,21834.3
Case-Ayala,1,11549.93
PLC Mayo,1,32164.55
Nichols Group,1,19306.37
"Pacheco and Fisher Pruitt,",1,29555.61
Blake PLC,1,32682.07
Jones-Collins,1,14298.23
"Kent, Hernandez Sellers and",1,8591.53
Jimenez-Moreno,1,33900.85
Martin-Ortega,1,10678.38
"Bray and White Reyes,",1,17173.0
"Jones, and Matthews Ramirez",1,5884.47
Dixon-Taylor,1,32122.9
Williams-Barber,1,347.83
Morgan-Burch,1,31185.16
Mcneil-Perez,1,13797.56
Bailey-Jordan,1,28376.32
"and Huffman Swanson, Nelson",1,4778.72
"Singleton Hill, Wilson and",1,35776.12
Mathis-Anderson,1,40881.91
"Blackburn Peterson, and Terry",1,3142.85
"and Greene Hicks, Oliver",1,16987.35
"and Quinn Macias, Vazquez",1,12926.28
Vincent-Greene,1,7597.72
"Santiago Finley and Mendez,",1,17409.23
Stevens-Peck,1,51098.58
"Sanford Nicholson White, and",1,7513.3
Duarte LLC,1,15775.97
Burton Inc,1,26543.67
"Garcia, Price Rivas and",1,19683.03
Garrett-Hernandez,1,46101.57
"Nunez Dennis, Kim and",1,8753.37
Reilly-Torres,1,19061.06
Hughes-Hanna,1,12857.64
"and Pitts Garrison Johnston,",1,18160.54
Roman-Morgan,1,41322.07
Sons Best and,1,43410.49
"Moore and Rhodes Lang,",1,39547.38
Fox-Anthony,1,8407.49
White-Stone,1,28756.23
Roberts-Sexton,1,24500.19
"Rice, Thompson Williams and",1,20545.94
Cooley-Howell,1,32857.62
"Cooper Gomez, and Simmons",1,28518.43
Koch-Simpson,1,8927.67
"and Lamb, Fernandez Gomez",1,27779.5
Hansen-Travis,1,28834.07
"White and Smith Villegas,",1,20270.53
"Lewis Washington and Walker,",1,35096.87
Norman-West,1,5966.86
Marks LLC,1,17755.74
"Moran and King, Smith",1,9832.5
Barber-Chandler,1,22299.21
Figueroa-Rogers,1,3269.92
Rice-Gregory,1,6245.72
Bowman-Molina,1,48522.93
Bowman-Owens,1,45106.02
"and Jones, Evans Williams",1,5469.47
Fry-Wade,1,6114.3
Barajas-Hughes,1,4109.84
"and Morgan, Anderson Atkins",1,10616.6
and Bentley Sons,1,29416.64
Clark-Durham,1,25443.49
"Vaughan and Jones, Abbott",1,24462.78
Ferguson Inc,1,6895.38
"and Wilson, Ball Walsh",1,797.12
Butler-Osborn,1,18901.36
"Howard and Sanders Matthews,",1,42969.59
"and Walsh Bell Wong,",1,35648.72
"Vaughn, Lee and Walker",1,36750.76
"Crawford, and Cummings Beasley",1,34226.15
Lopez-Bryant,1,8837.01
"and Simmons, Jones Liu",1,48605.17
Russell-Salazar,1,11380.05
Novak-Richardson,1,44700.25
"Walker Carter, and Mitchell",1,47203.86
Mccann-Williams,1,7964.86
"Arnold, Porter Gordon and",1,12847.74
"Fitzgerald, Elliott and Lawson",1,46163.61
Sims-Torres,1,17147.63
"Vincent Obrien and Chung,",1,47267.17
Hughes-Crawford,1,28259.38
"Myers and Norris Reed,",1,42768.68
Scott-Goodman,1,3820.31
"Duke Mayo and Torres,",1,23901.05
Wilkerson-Klein,1,23172.88
Garrison-Gomez,1,11282.66
Thomas-Phillips,1,29291.43
"Stephenson, Nguyen Martinez and",1,41512.61
"Stewart, and Moore Oconnell",1,26014.47
"Ellis and Prince Patton,",1,5365.79
"Lynn Simmons, Rodriguez and",1,43844.56
Alvarado-Delgado,1,40686.91
"Lopez Walls, Parker and",1,47087.26
"and Duncan Gray Mata,",1,27166.33
"Torres Cruz Allen, and",1,37384.06
Scott-Wilson,1,13555.18
"Chaney and Moon Shields,",1,43768.48
Moran-Patton,1,34637.2
Weiss-Munoz,1,25993.43
Martinez-Matthews,1,45634.65
Holland-Roberts,1,13222.93
"Hall, Reilly Rogers and",1,40470.25
Martin-Mendez,1,38977.83
Oconnor-King,1,36726.01
Foley-Murphy,1,3915.24
"Wood and Duran Holt,",1,24098.53
"Jones, Williams and Hunt",1,35460.29
"Herrera and Gray, Howell",1,47900.58
"and Simmons Gonzalez Martin,",1,5490.81
PLC Mcmillan,1,6297.23
Santos Sons and,1,5905.44
"Summers Clark, Hughes and",1,40645.42
"Jimenez, Adams and Moore",1,24108.73
King-Webb,1,41943.73
Hudson-Black,1,990.81
Turner-Petersen,1,27717.64
Ltd Braun,1,15832.69
Garcia-Sullivan,1,11032.74
"Morrison Waters and Garner,",1,40871.29
"Townsend and Brown Kennedy,",1,22115.27
Allen-Garcia,1,34771.42
"Smith, Rodriguez and Wright",1,29849.11
Henry-Hardin,1,33518.13
"Medina Shea Barrett, and",1,17919.52
"and Robbins Clark, Armstrong",1,18056.58
"and Smith, Mayo Ware",1,16077.98
Sanders-Watkins,1,20126.47
"Walker Woods, Oliver and",1,41260.99
Ho-Bradford,1,44002.7
"Rubio, Crawford Harris and",1,17305.72
"and Williams Garza, Herman",1,38594.42
Robertson-Freeman,1,14648.44
"and Brown Ray Walton,",1,12093.36
"Adams, Mcgee Brown and",1,33686.05
"and Hansen Sosa, Weiss",1,10604.28
"and Vaughan Williams Powers,",1,24647.58
"Wolfe Johnson, and Alvarez",1,32083.87
"Gonzales, Murillo and Parker",1,10437.4
Rojas-Allen,1,48768.69
and Sons Stevens,1,24112.3
Jimenez-Ward,1,31848.77
Murray-Mills,1,12664.37
"Hunt James, Romero and",1,18743.16
Crosby-Shelton,1,14415.17
Rivera-Pitts,1,22934.96
"Davis and Andersen Allen,",1,7175.12
and Underwood Sons,1,33464.51
"Smith Hall Richardson, and",1,26715.22
"Johnson Lawrence and Anderson,",1,20043.21
Rodriguez-Franco,1,45072.42
Colon-Meyer,1,3601.68
LLC Ware,1,21747.83
"Duran Mendoza and Scott,",1,8656.28
King-Henry,1,7538.41
"and Neal Vargas, Welch",1,40786.35
"Welch Bryan Rodriguez, and",1,34638.39
"Gonzalez Burch, and Diaz",1,21770.01
"Reese Adams, Lara and",1,2948.55
Jackson-Morton,1,34965.19
Rowe-Hayden,1,11651.08
Mathews Ltd,1,672.34
Guerrero-Hall,1,30707.62
Sons and King,1,32540.33
"Garrett and Lawson, Quinn",1,17107.0
"Livingston, Allen and Burns",1,49459.09
"Simmons Mathews, Martinez and",1,3260.7
Buchanan-Gonzalez,1,47387.41
Williams-Herrera,1,40468.79
"Hodges, Williamson and Gibson",1,40553.85
Fletcher-Pierce,1,20427.79
Gregory-Church,1,21786.75
"and Hall Williamson Oliver,",1,44657.41
"Wiley Elliott and Ellis,",1,26812.92
Frank LLC,1,31604.52
Hodges-Wall,1,15053.19
Houston-Stanley,1,32165.42
"Bell and Little Romero,",1,5193.08
"and Scott, Hall Carr",1,34384.81
Ltd Gamble,1,22796.65
Carter-Dawson,1,18617.13
"Garza, Farley and Ford",1,35743.59
Duke-Rubio,1,45808.7
Galloway-Romero,1,49108.42
Ramirez-Williams,1,49519.75
"Thomas Bailey, and Guzman",1,4487.05
"Phillips Garcia, Combs and",1,39834.74
Ltd Holmes,1,35187.66
"Taylor, Cook and Hicks",1,45239.85
Montgomery-Sparks,1,46373.86
Robinson-Esparza,1,43258.14
"and Moore Tyler, Robertson",1,22685.48
Higgins-Rivera,1,29580.5
Ritter LLC,1,16846.42
Solomon-Taylor,1,12937.62
Montgomery-Drake,1,30029.51
"and Perez Rodriguez, Potts",1,13750.17
Kennedy-Perkins,1,26715.37
"Bailey Gibbs Curtis, and",1,21071.51
"and Stevenson, Lopez Richardson",1,43772.56
PLC Dickerson,1,44748.17
Inc Pittman,1,46186.99
"Ellis, Todd and Simpson",1,23680.09
